shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
nbend_all,42.21173,-124.37516,202,35.138
nbend_all,42.21243,-124.37532,203,35.217
nbend_all,42.21316,-124.37528,204,35.298
nbend_all,42.21386,-124.37503,205,35.379
nbend_all,42.2147,-124.37444,206,35.484
nbend_all,42.21655,-124.37238,207,35.75
nbend_all,42.21698,-124.372,208,35.808
nbend_all,42.2174,-124.37177,209,35.858
nbend_all,42.21778,-124.37168,210,35.901
nbend_all,42.21852,-124.37158,211,35.984
nbend_all,42.21878,-124.3716,212,36.013
nbend_all,42.21948,-124.37194,213,36.095
nbend_all,42.21973,-124.37212,214,36.127
nbend_all,42.22006,-124.37241,215,36.171
nbend_all,42.22054,-124.37299,216,36.242
nbend_all,42.22096,-124.37393,217,36.333
nbend_all,42.22156,-124.37576,218,36.497
nbend_all,42.22183,-124.37646,219,36.562
nbend_all,42.22223,-124.37727,220,36.643
nbend_all,42.22271,-124.37799,221,36.722
nbend_all,42.22295,-124.37828,222,36.758
nbend_all,42.22386,-124.37918,223,36.884
nbend_all,42.22451,-124.37961,224,36.964
nbend_all,42.22652,-124.38072,225,37.205
nbend_all,42.22715,-124.38117,226,37.285
nbend_all,42.22745,-124.38146,227,37.326
nbend_all,42.22797,-124.38212,228,37.405
nbend_all,42.22917,-124.38394,229,37.606
nbend_all,42.22944,-124.38426,230,37.646
nbend_all,42.22974,-124.38452,231,37.685
nbend_all,42.23006,-124.38475,232,37.726
nbend_all,42.23074,-124.38508,233,37.806
nbend_all,42.23248,-124.38569,234,38.006
nbend_all,42.23314,-124.38611,235,38.087
nbend_all,42.23343,-124.38638,236,38.126
nbend_all,42.23394,-124.38706,237,38.206
nbend_all,42.23532,-124.39005,238,38.496
nbend_all,42.23573,-124.39075,239,38.569
nbend_all,42.23599,-124.39109,240,38.61
nbend_all,42.23657,-124.39167,241,38.69
nbend_all,42.23723,-124.39208,242,38.771
nbend_all,42.23793,-124.39233,243,38.851
nbend_all,42.23918,-124.39238,244,38.99
nbend_all,42.24733,-124.39159,245,39.899
nbend_all,42.24806,-124.3916,246,39.98
nbend_all,42.24877,-124.39173,247,40.06
nbend_all,42.24912,-124.39184,248,40.1
nbend_all,42.2498,-124.39216,249,40.18
nbend_all,42.25045,-124.39261,250,40.261
nbend_all,42.25075,-124.39288,251,40.301
nbend_all,42.25131,-124.39349,252,40.381
nbend_all,42.25312,-124.39586,253,40.661
nbend_all,42.25368,-124.39649,254,40.742
nbend_all,42.25426,-124.39705,255,40.822
nbend_all,42.25489,-124.39754,256,40.902
nbend_all,42.25554,-124.39795,257,40.982
nbend_all,42.25657,-124.39843,258,41.103
nbend_all,42.26296,-124.40013,259,41.827
nbend_all,42.27993,-124.40477,260,43.753
nbend_all,42.28112,-124.40499,261,43.886
nbend_all,42.28257,-124.40509,262,44.048
nbend_all,42.28764,-124.40489,263,44.612
nbend_all,42.28836,-124.4049,264,44.692
nbend_all,42.28944,-124.40508,265,44.813
nbend_all,42.29132,-124.40576,266,45.029
nbend_all,42.29361,-124.40673,267,45.296
nbend_all,42.29593,-124.40759,268,45.563
nbend_all,42.29804,-124.40845,269,45.809
nbend_all,42.29838,-124.40862,270,45.849
nbend_all,42.29904,-124.40906,271,45.931
nbend_all,42.30089,-124.41064,272,46.174
nbend_all,42.30122,-124.41085,273,46.215
nbend_all,42.30157,-124.41099,274,46.255
nbend_all,42.30193,-124.41106,275,46.296
nbend_all,42.30265,-124.41102,276,46.376
nbend_all,42.30301,-124.4109,277,46.417
nbend_all,42.30507,-124.40996,278,46.659
nbend_all,42.30542,-124.40985,279,46.699
nbend_all,42.30598,-124.40979,280,46.761
nbend_all,42.30649,-124.40986,281,46.818
nbend_all,42.30706,-124.4102,282,46.887
nbend_all,42.30742,-124.4105,283,46.934
nbend_all,42.30768,-124.41079,284,46.972
nbend_all,42.30797,-124.41122,285,47.02
nbend_all,42.30885,-124.4128,286,47.182
nbend_all,42.3091,-124.41315,287,47.222
nbend_all,42.3097,-124.4137,288,47.303
nbend_all,42.31038,-124.41403,289,47.383
nbend_all,42.31205,-124.41446,290,47.572
nbend_all,42.31302,-124.41481,291,47.684
nbend_all,42.31563,-124.41607,292,47.992
nbend_all,42.31617,-124.41625,293,48.054
nbend_all,42.31648,-124.4163,294,48.089
nbend_all,42.31681,-124.41632,295,48.125
nbend_all,42.31721,-124.41626,296,48.17
nbend_all,42.31785,-124.41602,297,48.244
nbend_all,42.3192,-124.41522,298,48.408
nbend_all,42.31993,-124.41499,299,48.491
nbend_all,42.32038,-124.415,300,48.541
nbend_all,42.32075,-124.41509,301,48.583
nbend_all,42.32104,-124.41519,302,48.616
nbend_all,42.32141,-124.41541,303,48.661
nbend_all,42.32305,-124.41645,304,48.863
nbend_all,42.32367,-124.41679,305,48.937
nbend_all,42.32432,-124.41738,306,49.024
nbend_all,42.32454,-124.41774,307,49.063
nbend_all,42.32473,-124.41816,308,49.103
nbend_all,42.3254,-124.4198,309,49.257
nbend_all,42.32589,-124.42051,310,49.337
nbend_all,42.32749,-124.42251,311,49.579
nbend_all,42.32778,-124.42281,312,49.62
nbend_all,42.3281,-124.42305,313,49.661
nbend_all,42.32844,-124.42323,314,49.701
nbend_all,42.32916,-124.42337,315,49.782
nbend_all,42.32953,-124.42336,316,49.823
nbend_all,42.33022,-124.42305,317,49.904
nbend_all,42.33083,-124.42251,318,49.985
nbend_all,42.3311,-124.42219,319,50.025
nbend_all,42.33293,-124.41981,320,50.307
nbend_all,42.33368,-124.41873,321,50.429
nbend_all,42.33413,-124.41797,322,50.509
nbend_all,42.33471,-124.41672,323,50.63
nbend_all,42.33569,-124.41408,324,50.873
nbend_all,42.33611,-124.41327,325,50.955
nbend_all,42.33637,-124.41291,326,50.996
nbend_all,42.33697,-124.41235,327,51.077
nbend_all,42.33766,-124.41202,328,51.158
nbend_all,42.33801,-124.41196,329,51.198
nbend_all,42.33837,-124.41196,330,51.238
nbend_all,42.33909,-124.41213,331,51.319
nbend_all,42.33942,-124.41229,332,51.358
nbend_all,42.34008,-124.41284,333,51.444
nbend_all,42.34058,-124.41355,334,51.525
nbend_all,42.3413,-124.41522,335,51.684
nbend_all,42.34178,-124.4162,336,51.78
nbend_all,42.34228,-124.41678,337,51.853
nbend_all,42.34291,-124.41724,338,51.933
nbend_all,42.34537,-124.41808,339,52.215
nbend_all,42.34609,-124.41814,340,52.295
nbend_all,42.34679,-124.41799,341,52.374
nbend_all,42.34713,-124.41783,342,52.414
nbend_all,42.34798,-124.41719,343,52.522
nbend_all,42.34882,-124.41632,344,52.64
nbend_all,42.35019,-124.41514,345,52.821
nbend_all,42.35083,-124.41468,346,52.901
nbend_all,42.35143,-124.41429,347,52.975
nbend_all,42.35286,-124.41357,348,53.145
nbend_all,42.35435,-124.41238,349,53.337
nbend_all,42.35471,-124.41224,350,53.379
nbend_all,42.35503,-124.41219,351,53.415
nbend_all,42.35567,-124.41235,352,53.487
nbend_all,42.35695,-124.41312,353,53.643
nbend_all,42.35762,-124.41331,354,53.719
nbend_all,42.35886,-124.41345,355,53.857
nbend_all,42.35964,-124.41377,356,53.948
nbend_all,42.3601,-124.41419,357,54.01
nbend_all,42.36092,-124.41524,358,54.135
nbend_all,42.36154,-124.41575,359,54.216
nbend_all,42.36222,-124.41608,360,54.296
nbend_all,42.36329,-124.41623,361,54.416
nbend_all,42.36364,-124.41631,362,54.455
nbend_all,42.36399,-124.41646,363,54.496
nbend_all,42.36462,-124.41693,364,54.576
nbend_all,42.36543,-124.41786,365,54.694
nbend_all,42.36573,-124.41813,366,54.734
nbend_all,42.36638,-124.41851,367,54.813
nbend_all,42.36986,-124.41961,368,55.21
nbend_all,42.3716,-124.42005,369,55.407
nbend_all,42.37268,-124.42017,370,55.528
nbend_all,42.37511,-124.42016,371,55.798
nbend_all,42.37584,-124.4202,372,55.879
nbend_all,42.37792,-124.42056,373,56.112
nbend_all,42.37933,-124.42095,374,56.272
nbend_all,42.38002,-124.42119,375,56.351
nbend_all,42.38476,-124.42318,376,56.903
nbend_all,42.38522,-124.42331,377,56.956
nbend_all,42.38595,-124.42337,378,57.037
nbend_all,42.38693,-124.42321,379,57.147
nbend_all,42.38846,-124.42278,380,57.32
