route_id,service_id,trip_id,direction_id,block_id,shape_id,trip_type
6,U.327,2712141,0,602,103233,
6,U.327,2712140,0,601,103233,
6,S.327,2712112,0,606,103233,
6,S.327,2712111,0,601,103233,
6,S.327,2712110,0,604,103233,
6,S.327,2712109,0,603,103233,
6,S.327,2712108,0,605,103233,
6,S.327,2712107,0,602,103233,
6,S.327,2712106,0,606,103233,
6,S.327,2712105,0,601,103233,
6,S.327,2712104,0,604,103233,
6,S.327,2712103,0,603,103233,
6,S.327,2712102,0,605,103233,
6,S.327,2712101,0,602,103233,
6,S.327,2712100,0,606,103233,
6,S.327,2712099,0,601,103233,
6,S.327,2712098,0,604,103233,
6,S.327,2712097,0,603,103233,
6,S.327,2712096,0,605,103233,
6,S.327,2712095,0,602,103233,
6,S.327,2712094,0,601,103233,
6,S.327,2712093,0,604,103233,
6,S.327,2712092,0,603,103233,
6,S.327,2712091,0,602,103233,
6,S.327,2712090,0,601,103233,
6,S.327,2712089,0,603,103233,
6,S.327,2712088,0,602,103233,
6,S.327,2712087,0,601,103233,
6,S.327,2712139,0,605,103233,
6,S.327,2712138,0,606,103233,
6,S.327,2712137,0,604,103233,
6,S.327,2712136,0,605,103233,
6,S.327,2712135,0,606,103233,
6,S.327,2712134,0,601,103233,
6,S.327,2712133,0,604,103233,
6,S.327,2712132,0,603,103233,
6,S.327,2712131,0,605,103233,
6,S.327,2712130,0,606,103233,
6,S.327,2712129,0,601,103233,
6,S.327,2712128,0,604,103233,
6,S.327,2712127,0,603,103233,
6,S.327,2712126,0,605,103233,
6,S.327,2712125,0,602,103233,
6,S.327,2712124,0,606,103233,
6,S.327,2712123,0,601,103233,
6,S.327,2712122,0,604,103233,
6,S.327,2712121,0,603,103233,
6,S.327,2712120,0,605,103233,
6,S.327,2712119,0,602,103233,
6,S.327,2712118,0,606,103233,
6,S.327,2712117,0,601,103233,
6,S.327,2712116,0,604,103233,
6,S.327,2712115,0,603,103233,
6,S.327,2712114,0,605,103233,
6,S.327,2712113,0,602,103233,
6,W.327,2712421,1,610,103234,
6,W.327,2712420,1,606,103234,
6,W.327,2712419,1,604,103234,
6,W.327,2712418,1,610,103234,
6,W.327,2712417,1,606,103234,
6,W.327,2712416,1,602,103234,
6,W.327,2712415,1,604,103234,
6,W.327,2712414,1,611,103234,
6,W.327,2712413,1,610,103234,
6,W.327,2712412,1,606,103234,
6,W.327,2712411,1,605,103234,
6,W.327,2712410,1,602,103234,
6,W.327,2712409,1,604,103234,
6,W.327,2712408,1,611,103234,
6,W.327,2712407,1,610,103234,
6,W.327,2712406,1,606,103234,
6,W.327,2712405,1,605,103234,
6,W.327,2712404,1,602,103234,
6,W.327,2712403,1,607,103234,
6,W.327,2712402,1,604,103234,
6,W.327,2712401,1,601,103234,
6,W.327,2712400,1,603,103234,
6,W.327,2712399,1,609,103234,
6,W.327,2712398,1,608,103234,
6,W.327,2712397,1,602,103234,
6,W.327,2712396,1,607,103234,
6,W.327,2712395,1,604,103234,
6,W.327,2712394,1,601,103234,
6,W.327,2712393,1,603,103234,
6,W.327,2712392,1,609,103234,
6,W.327,2712391,1,608,103234,
6,W.327,2712390,1,602,103234,
6,W.327,2712389,1,607,103234,
6,W.327,2712388,1,601,103234,
6,W.327,2712387,1,603,103234,
6,W.327,2712386,1,609,103234,
6,W.327,2712385,1,608,103234,
6,W.327,2712384,1,602,103234,
6,W.327,2712383,1,607,103234,
6,W.327,2712382,1,601,103234,
6,W.327,2712381,1,603,103234,
6,W.327,2712380,1,609,103234,
6,W.327,2712379,1,608,103234,
6,W.327,2712378,1,602,103234,
6,W.327,2712377,1,607,103234,
6,W.327,2712376,1,601,103234,
6,W.327,2712375,1,606,103234,
6,W.327,2712374,1,603,103234,
6,W.327,2712373,1,609,103234,
6,W.327,2712372,1,605,103234,
6,W.327,2712371,1,608,103234,
6,W.327,2712370,1,604,103234,
6,W.327,2712369,1,602,103234,
6,W.327,2712368,1,607,103234,
6,W.327,2712367,1,601,103234,
6,W.327,2712366,1,603,103234,
6,W.327,2712365,1,605,103234,
6,W.327,2712364,1,604,103234,
6,W.327,2712363,1,602,103234,
6,W.327,2712362,1,601,103234,
6,U.327,2712361,1,605,103234,
6,U.327,2712360,1,606,103234,
6,U.327,2712359,1,604,103234,
6,U.327,2712358,1,605,103234,
6,U.327,2712357,1,606,103234,
6,U.327,2712356,1,601,103234,
6,U.327,2712355,1,604,103234,
6,U.327,2712354,1,603,103234,
6,U.327,2712353,1,605,103234,
6,U.327,2712352,1,606,103234,
6,U.327,2712351,1,601,103234,
6,U.327,2712350,1,604,103234,
6,U.327,2712349,1,603,103234,
6,U.327,2712348,1,605,103234,
6,U.327,2712347,1,602,103234,
6,U.327,2712346,1,606,103234,
6,U.327,2712345,1,601,103234,
6,U.327,2712344,1,604,103234,
6,U.327,2712343,1,603,103234,
6,U.327,2712342,1,605,103234,
6,U.327,2712341,1,602,103234,
